CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0069,0.9042,C0023,0.765,C0183,0.7063
C0002,C0031,0.926,C0133,0.814,C0060,0.7788
C0003,C0144,0.8532,C0149,0.7364,C0091,0.7336
C0004,C0075,0.9532,C0017,0.9409,C0028,0.8608
C0005,C0197,0.8503,C0199,0.8011,C0007,0.7954
C0006,C0196,0.8687,C0117,0.8091,C0200,0.7742
C0007,C0085,0.8457,C0005,0.7954,C0020,0.7899
C0008,C0162,0.8415,C0093,0.8084,C0084,0.7947
C0009,C0032,0.9291,C0033,0.8447,C0088,0.8221
C0010,C0030,0.8759,C0111,0.8004,C0077,0.7494
C0011,C0126,0.6913,C0142,0.6836,C0057,0.6326
C0012,C0065,0.9247,C0113,0.8642,C0057,0.8037
C0013,C0099,0.8935,C0053,0.8856,C0188,0.8578
C0014,C0128,0.9542,C0097,0.9505,C0025,0.8703
C0015,C0128,0.8991,C0060,0.8979,C0097,0.8572
C0016,C0107,0.822,C0061,0.7601,C0044,0.7272
C0017,C0004,0.9409,C0075,0.9314,C0122,0.8507
C0018,C0148,0.856,C0114,0.8291,C0087,0.8086
C0019,C0119,0.7935,C0121,0.7807,C0186,0.7723
C0020,C0130,0.9082,C0120,0.8892,C0007,0.7899
